country,variable,percentile,year,value,age,pop
AE,sptincj992,p90p100,1990,0.5927,992,j
AE,sptincj992,p90p100,1991,0.59460002,992,j
AE,sptincj992,p90p100,1992,0.5966,992,j
AE,sptincj992,p90p100,1993,0.59869999,992,j
AE,sptincj992,p90p100,1994,0.60089999,992,j
AE,sptincj992,p90p100,1995,0.60299999,992,j
AE,sptincj992,p90p100,1996,0.60390002,992,j
AE,sptincj992,p90p100,1997,0.60479999,992,j
AE,sptincj992,p90p100,1998,0.60579997,992,j
AE,sptincj992,p90p100,1999,0.60689998,992,j
AE,sptincj992,p90p100,2000,0.60799998,992,j
AE,sptincj992,p90p100,2001,0.6092,992,j
AE,sptincj992,p90p100,2002,0.61040002,992,j
AE,sptincj992,p90p100,2003,0.6117,992,j
AE,sptincj992,p90p100,2004,0.61299998,992,j
AE,sptincj992,p90p100,2005,0.61900002,992,j
AE,sptincj992,p90p100,2006,0.65700001,992,j
AE,sptincj992,p90p100,2007,0.67269999,992,j
AE,sptincj992,p90p100,2008,0.69989997,992,j
AE,sptincj992,p90p100,2009,0.56059998,992,j
AE,sptincj992,p90p100,2010,0.56470001,992,j
AE,sptincj992,p90p100,2011,0.62660003,992,j
AE,sptincj992,p90p100,2012,0.64639997,992,j
AE,sptincj992,p90p100,2013,0.65969998,992,j
AE,sptincj992,p90p100,2014,0.66839999,992,j
AE,sptincj992,p90p100,2015,0.63309997,992,j
AE,sptincj992,p90p100,2016,0.62970001,992,j
AL,sptincj992,p90p100,1996,0.2705,992,j
AL,sptincj992,p90p100,1997,0.2809,992,j
AL,sptincj992,p90p100,1998,0.28780001,992,j
AL,sptincj992,p90p100,1999,0.2915,992,j
AL,sptincj992,p90p100,2000,0.29390001,992,j
AL,sptincj992,p90p100,2001,0.29679999,992,j
AL,sptincj992,p90p100,2002,0.29820001,992,j
AL,sptincj992,p90p100,2003,0.2965,992,j
AL,sptincj992,p90p100,2004,0.2947,992,j
AL,sptincj992,p90p100,2005,0.29260001,992,j
AL,sptincj992,p90p100,2006,0.29179999,992,j
AL,sptincj992,p90p100,2007,0.29100001,992,j
AL,sptincj992,p90p100,2008,0.2931,992,j
AL,sptincj992,p90p100,2009,0.2881,992,j
AL,sptincj992,p90p100,2010,0.2744,992,j
AL,sptincj992,p90p100,2011,0.27579999,992,j
AL,sptincj992,p90p100,2012,0.27450001,992,j
AO,sptincj992,p90p100,1990,0.4781753036,992,j
AO,sptincj992,p90p100,1991,0.4781753036,992,j
AO,sptincj992,p90p100,1992,0.4781753036,992,j
AO,sptincj992,p90p100,1993,0.4781753036,992,j
AO,sptincj992,p90p100,1994,0.4781753036,992,j
AO,sptincj992,p90p100,1995,0.4781753036,992,j
AO,sptincj992,p90p100,1996,0.4982093556,992,j
AO,sptincj992,p90p100,1997,0.5182434255,992,j
AO,sptincj992,p90p100,1998,0.5382774717,992,j
AO,sptincj992,p90p100,1999,0.5583115368,992,j
AO,sptincj992,p90p100,2000,0.5783455939,992,j
AO,sptincj992,p90p100,2001,0.5671192608,992,j
AO,sptincj992,p90p100,2002,0.5558929358,992,j
AO,sptincj992,p90p100,2003,0.544666613,992,j
AO,sptincj992,p90p100,2004,0.5334402875,992,j
AO,sptincj992,p90p100,2005,0.5222139536,992,j
AO,sptincj992,p90p100,2006,0.5109876162,992,j
AO,sptincj992,p90p100,2007,0.4997612869,992,j
AO,sptincj992,p90p100,2008,0.4885349596,992,j
AO,sptincj992,p90p100,2009,0.4885349596,992,j
AO,sptincj992,p90p100,2010,0.4885349596,992,j
AO,sptincj992,p90p100,2011,0.4885349596,992,j
AO,sptincj992,p90p100,2012,0.4885349596,992,j
AO,sptincj992,p90p100,2013,0.4885349596,992,j
