election_id,country_name,election_date,party_id,vote_share,seats,seats_total
402,Austria,1945-11-25,1013,49.8,85,165
402,Austria,1945-11-25,973,44.6,76,165
402,Austria,1945-11-25,769,5.4,4,165
402,Austria,1945-11-25,2055,0.2,0,165
67,Austria,1949-10-09,1013,44,77,165
67,Austria,1949-10-09,973,38.7,67,165
67,Austria,1949-10-09,50,11.7,16,165
67,Austria,1949-10-09,769,5.1,5,165
67,Austria,1949-10-09,2055,0.28,0,165
11,Austria,1953-02-22,1013,41.3,74,165
11,Austria,1953-02-22,973,42.1,73,165
11,Austria,1953-02-22,50,10.9,14,165
11,Austria,1953-02-22,769,5.3,4,165
11,Austria,1953-02-22,2055,0.13,0,165
169,Austria,1956-05-13,1013,46,82,165
169,Austria,1956-05-13,973,43,74,165
169,Austria,1956-05-13,50,6.5,6,165
169,Austria,1956-05-13,769,4.4,3,165
169,Austria,1956-05-13,2055,0.04,0,165
347,Austria,1959-05-10,1013,44.2,79,165
347,Austria,1959-05-10,973,44.8,78,165
347,Austria,1959-05-10,50,7.7,8,165
347,Austria,1959-05-10,769,3.3,0,165
495,Austria,1962-11-18,1013,45.4,81,165
495,Austria,1962-11-18,973,44,76,165
495,Austria,1962-11-18,50,7,8,165
495,Austria,1962-11-18,769,3,0,165
608,Austria,1966-03-06,1013,48.35,85,165
608,Austria,1966-03-06,973,42.56,74,165
608,Austria,1966-03-06,50,5.35,6,165
608,Austria,1966-03-06,1743,3.28,0,165
377,Austria,1970-03-01,973,48.4,81,165
377,Austria,1970-03-01,1013,44.7,78,165
377,Austria,1970-03-01,50,5.5,6,165
377,Austria,1970-03-01,769,1,0,165
185,Austria,1971-10-10,973,50,93,183
185,Austria,1971-10-10,1013,43.1,80,183
185,Austria,1971-10-10,50,5.5,10,183
185,Austria,1971-10-10,769,1.4,0,183
221,Austria,1975-10-05,973,50.4,93,183
221,Austria,1975-10-05,1013,42.9,80,183
221,Austria,1975-10-05,50,5.4,10,183
221,Austria,1975-10-05,769,1.2,0,183
452,Austria,1979-05-06,973,51,95,183
452,Austria,1979-05-06,1013,41.9,77,183
452,Austria,1979-05-06,50,6.1,11,183
452,Austria,1979-05-06,769,1,0,183
456,Austria,1983-04-24,973,47.6,90,183
456,Austria,1983-04-24,1013,43.2,81,183
456,Austria,1983-04-24,50,5,12,183
456,Austria,1983-04-24,1739,1.4,0,183
456,Austria,1983-04-24,1740,2,0,183
235,Austria,1986-11-23,973,43.1,80,183
235,Austria,1986-11-23,1013,41.3,77,183
235,Austria,1986-11-23,50,9.7,18,183
235,Austria,1986-11-23,1429,4.8,8,183
235,Austria,1986-11-23,769,0.7,0,183
325,Austria,1990-10-07,973,42.8,80,183
325,Austria,1990-10-07,1013,32.1,60,183
325,Austria,1990-10-07,50,16.6,33,183
325,Austria,1990-10-07,1429,4.8,10,183
325,Austria,1990-10-07,1740,2,0,183
66,Austria,1994-10-09,973,34.9,65,183
