parlgov_id,populist,farleft,farright
1536,1,0,1
50,1,0,1
669,1,0,0
2150,1,0,0
171,1,0,1
221,1,0,0
438,1,0,1
256,0,1,0
993,1,0,1
535,1,0,1
2362,1,0,0
599,1,0,0
1541,1,0,0
2211,1,0,1
544,1,0,0
636,1,0,1
2212,1,0,1
2637,1,0,1
2193,1,0,0
1044,0,0,1
2181,0,0,1
2135,1,0,1
2182,1,1,0
2185,0,0,1
2615,1,0,0
2612,1,0,0
572,0,1,0
1768,0,0,1
2341,1,1,0
2263,1,0,0
1173,0,1,0
665,0,1,0
872,1,0,1
363,0,0,0
1613,1,0,1
2654,1,0,1
2262,1,0,1
336,1,0,0
1418,1,0,1
306,0,1,0
978,1,0,1
2781,1,0,1
1644,0,1,0
2568,0,1,0
1064,1,0,1
417,1,0,1
428,0,0,0
25,1,0,0
1292,0,1,0
2645,1,0,0
200,1,0,1
2399,1,0,1
270,1,0,1
2644,1,1,0
1101,0,0,0
686,0,1,0
2252,0,0,1
2253,1,0,1
791,1,1,0
2091,1,0,0
720,1,1,0
2780,1,0,1
2742,1,1,0
614,0,1,0
1179,1,0,1
2092,0,0,1
2163,0,1,0
1412,1,0,1
1592,1,1,0
1441,1,1,0
921,1,0,1
437,1,0,1
600,1,0,1
434,0,0,1
95,1,0,1
1202,0,1,0
2745,1,0,1
1360,0,1,0
587,1,0,0
2632,1,0,0
1455,0,0,0
2441,0,0,0
2655,1,0,0
1342,0,0,0
1580,0,1,0
1804,0,1,0
2217,1,1,0
433,0,1,0
1014,0,1,0
176,0,0,1
596,1,0,0
2154,1,0,1
67,1,0,0
1436,1,0,1
436,1,0,1
1080,1,0,0
2155,1,0,0
831,0,0,1
1661,0,1,0
1321,0,1,0
465,0,1,0
1518,0,0,0
2715,1,0,0
1260,0,1,0
309,0,1,0
1042,0,1,0
1942,1,0,0
203,0,0,1
581,1,0,0
2121,1,0,0
383,1,0,1
432,0,0,1
2635,1,0,0
1446,0,1,0
1623,0,1,0
1562,1,1,0
1056,0,1,0
1502,1,0,0
1421,1,0,0
1582,1,0,0
457,0,1,0
151,0,1,0
374,0,0,1
2109,0,0,0
209,1,0,1
2642,1,0,1
625,0,0,0
744,1,0,0
456,1,0,0
990,0,0,0
1501,1,0,1
357,1,1,0
1251,0,0,0
351,1,0,1
1538,0,0,0
780,1,0,0
1638,0,1,0
702,0,0,0
81,0,1,0
2602,0,0,1
2600,1,0,1
2790,0,0,0
987,1,0,1
2625,0,1,0
181,1,0,1
1077,0,1,0
1074,0,1,0
528,1,0,1
2398,0,0,1
148,0,0,1
207,1,0,0
1549,0,0,1
1758,0,0,0
557,0,1,0
2789,1,0,1
1295,0,1,0
514,0,1,0
2130,1,0,0
713,1,0,1
2648,1,0,1
562,0,1,0
307,0,1,0
648,1,0,1
1200,1,0,0
44,0,1,0
586,0,0,1
1645,0,0,0
1759,1,0,0
20,1,0,1
1460,0,0,0
1072,1,0,1
2623,1,0,1
220,1,0,0
1016,1,0,0
1563,1,1,0
2670,1,1,0
2668,1,0,0
179,1,0,1
981,1,0,1
317,0,1,0
706,1,1,0
520,0,1,0
1367,0,1,0
2607,0,1,0
2606,1,1,0
2604,1,1,0
2603,0,1,0
2786,0,1,0
1317,0,1,0
118,0,1,0
2376,1,1,0
2380,1,0,1
951,1,0,1
1546,1,0,1
882,0,1,0
1602,1,0,1
1318,1,0,0
1500,1,0,1
2599,1,0,1
628,0,0,1
1167,0,1,0
224,0,1,0
750,1,0,1
1226,0,1,0
773,0,0,0
319,0,0,0
1057,1,1,0
689,1,1,0
1272,1,0,1
