id,date_start,latitude,longitude,best
199885,1993-02-01,44.872778,18.808333,6
199767,1994-03-03,44.844444,15.918611,1
200575,1995-03-12,43.85,18.383333,1
200731,1995-07-07,44.106389,19.296944,1
200732,1995-07-08,44.106389,19.296944,1
200733,1995-07-09,44.106389,19.296944,2
199829,1992-04-29,45.1375,17.989722,1
200424,1992-05-17,43.85,18.383333,1
199360,1992-11-10,44.880833,18.426944,13
200412,1992-11-22,43.85,18.383333,4
200103,1992-12-17,44.880833,18.426944,2
200719,1993-01-13,44.106389,19.296944,0
200346,1993-01-14,44.765278,15.955278,3
200717,1993-01-17,44.106389,19.296944,7
200081,1993-04-28,44.006667,16.600556,1
199540,1993-05-26,44.8825,16.151389000000002,2
200544,1994-01-04,43.85,18.383333,9
199595,1995-03-18,43.83,18.358611,1
199585,1995-05-16,44.016111,18.258889,1
199607,1995-06-14,43.666944,18.976389,0
199716,1993-05-20,43.343333,17.808056,1
200331,1993-08-13,44.96,16.179167,1
200308,1992-04-28,45.09,18.317778,0
199591,1992-05-08,44.872778,18.808333,3
200421,1992-05-08,43.85,18.383333,3
200422,1992-05-08,43.85,18.383333,9
200788,1992-05-08,44.226667,17.670556,8
200861,1992-05-08,44.201389,17.906389,8
200426,1992-05-20,43.85,18.383333,5
200438,1992-06-08,43.85,18.383333,25
200441,1992-06-12,43.85,18.383333,12
200442,1992-06-13,43.85,18.383333,9
200447,1992-06-18,43.85,18.383333,7
200444,1992-06-21,43.85,18.383333,1
199483,1992-06-22,43.85,18.383333,8
200449,1992-06-22,43.85,18.383333,19
199856,1992-06-23,43.85,18.383333,3
199626,1992-06-24,43.85,18.383333,1
199915,1992-06-24,43.85,18.383333,17
200450,1992-06-24,43.85,18.383333,1
200802,1992-06-24,44.542778,18.669444,22
199931,1992-06-25,44.977222,17.910278,34
200451,1992-06-26,43.85,18.383333,15
200383,1992-06-26,43.85,18.383333,4
200453,1992-06-30,43.85,18.383333,5
200454,1992-07-04,43.85,18.383333,5
200355,1992-07-05,43.85,18.383333,29
200455,1992-07-06,43.85,18.383333,3
200456,1992-07-07,43.85,18.383333,4
200458,1992-07-07,43.85,18.383333,9
200251,1992-07-08,44.365833,18.205556,36
200457,1992-07-08,43.85,18.383333,4
200792,1992-07-08,42.711944,18.344167,46
200010,1992-07-14,43.666944,18.976389,3
200220,1992-07-14,43.343333,17.808056,3
